I,O,I_error,O_error,M1_error,M2_error,M3_error
5,5,-55.527891654562666,-180.25502757469155,4.867875966241374,-3.527654719609382,-4.378677268379278
5,5,-27.705826028335892,-180.75978847815568,2.474897979902622,-1.3513966245793525,-1.7046728030451552
5,5,-9.226620132101075,-180.4184651083201,0.41638022709659817,-0.13903447949210251,-0.2121043643826196
5,5,1.1505801042604138,-175.54907324499936,-0.9002006196194611,0.39904824781855064,0.6057101840900928
5,5,2.9884790386999636,-4.264991803812327,0.6991703985500028,-0.2845603504886946,-0.28911581629091254
5,5,-0.9247280188714209,-2.7034825677141567,0.14264874746902717,0.012055547879215117,0.021604941453112092
5,5,-3.87746526754672,-2.15686422589299,-0.29774999238459376,0.20283668430946555,0.25791214516794975
5,5,-5.005477300874029,-2.647193478643337,-0.5008668522199688,0.267091919589275,0.3535532307084459
5,5,-5.349392153379904,-3.787804456392868,-0.5932115865472828,0.2855321385057702,0.3801405584329464
5,5,-5.203420310818313,-3.5921028780083812,-0.60494465718306,0.27584668235678284,0.3685480452317496
5,5,-4.73455145269422,-3.3707604481759734,-0.5611063051909927,0.24947028757781192,0.3387791454719481
5,5,-4.337582207616331,-3.0678365535374947,-0.5122987844468295,0.228948256644295,0.31413978312221563
5,5,-4.168543293437848,-2.949583398198036,-0.4905884114505865,0.2186526302882443,0.3033151269748838
5,5,-4.14688609176633,-2.571527476352162,-0.4898042047390875,0.21596805356672172,0.30133651912237536
5,5,-4.03202013668886,-3.083684931717297,-0.4754709845498668,0.208791081604154,0.2934165148169992
5,5,-3.9521195779758767,-2.9996059761042133,-0.46435949200682597,0.2065186733046948,0.2879623507863759
5,5,-3.7704279100629456,-2.7213250126610546,-0.4441474310778787,0.1965562466972251,0.27759686904286496
5,5,-3.653609247027431,-2.7940593065610546,-0.430540687364086,0.18674672086342464,0.27024072547586153
5,5,-3.747782631128482,-3.214049563545128,-0.44075081999423793,0.1923220566210127,0.2747873397563741
5,5,-3.6616579266201956,-3.2310883789667155,-0.42967131348208976,0.18995487579043602,0.2691294023805574
5,5,-3.5297446339343743,-2.9386688852362877,-0.41545426749587555,0.18050999694768458,0.2631431598027288
5,5,-3.4444562864555497,-3.1189692831868747,-0.40536769442751264,0.17428917629489799,0.25768767412398963
5,5,-3.433866537038252,-3.943615205580869,-0.40237061588261647,0.173453231875971,0.256125806810901
5,5,-3.321250780773738,-3.3843193009592643,-0.3904940123387396,0.16871461743160832,0.24854684871853594
5,5,-3.4132911959476715,-3.241749854020261,-0.40175856182366965,0.17313568366969986,0.25588085109418335
5,5,-3.4722356771739236,-3.374370602746179,-0.4063615786236428,0.1755640961800383,0.2590439787325938
5,5,-3.335558370540747,-3.7793166773428464,-0.3924240436577602,0.16705981297078876,0.24924927604972696
5,5,-3.1885428889322736,-3.4852945828132853,-0.37515418835839975,0.16031148771207954,0.24207387966840513
5,5,-3.2734462539920486,-3.4001517662945755,-0.38350624780686005,0.16572496575527762,0.2471645922463806
5,5,-3.3917218257454014,-3.3650061841684433,-0.3975073353121329,0.17099544717316692,0.2522805515804254
5,5,-3.386156082823133,-2.98734315278338,-0.3988007602230249,0.17167392447158103,0.25070071883127637
5,5,-3.2623638079280433,-3.1868571185260812,-0.3829735337561127,0.16486607263698966,0.24578263051613275
5,5,-3.158689649286714,-3.3474228402933477,-0.36930641231840244,0.15940180036758672,0.23956083619274507
5,5,-3.293859345206883,-3.1883925721642807,-0.3875000071158239,0.16708570401519365,0.24515239678321876
5,5,-3.3172030927040534,-3.101178096906125,-0.3900414600669161,0.1670608605508879,0.24743066279653408
5,5,-3.380348268558988,-3.106587155223167,-0.39617569950024073,0.1712332930809372,0.2529677383418931
5,5,-3.4668156694731582,-3.2757708386785485,-0.40776829754351474,0.1775721540743588,0.2589339465658229
5,5,-3.4983728002564405,-3.0604926229956106,-0.41194606489413016,0.18001780479475993,0.25758583855952183
5,5,-3.510594423646424,-2.8612699040693315,-0.41266240828737843,0.17885100800985682,0.26028008159924565
5,5,-3.4479708731323946,-3.1069120217680553,-0.40412718950701465,0.17529549689716523,0.25711584085719125
5,5,-3.5555368844984585,-3.3055986133600364,-0.41901294995340826,0.1825484936413791,0.2646262326631348
5,5,-3.6805782969371794,-2.8783065445245137,-0.43311980698095387,0.19090005387745934,0.2710542409705797
5,5,-3.7587430712715477,-2.768159065593129,-0.4415930482362622,0.19411759104118215,0.2738670132524555
5,5,-3.796870991923207,-2.7670855207024063,-0.44692591421279554,0.19553676309413742,0.2796828188223103
5,5,-3.9086175777970205,-3.2828720085948913,-0.4610403196747558,0.2036944401131736,0.28709944599533005
5,5,-4.06546159100936,-2.9718489118257727,-0.4794913258799612,0.21334219488817407,0.2951356590623652
5,5,-4.19000807789614,-2.6680826888223628,-0.4929288333887142,0.21787889140358585,0.3030203487372559
5,5,-4.316195527275587,-2.8340472119301117,-0.5097397709441944,0.22674029795451955,0.3137539845138316
5,5,-4.451641626950726,-2.7130585900661313,-0.5264156576510843,0.23559526214234197,0.321264976615278
5,5,-4.568758911419261,-2.5137632978010434,-0.5387273487926206,0.24148812334240669,0.32692743263034935
5,5,-4.618606111859789,-2.4188030361000026,-0.545115280188964,0.24294844344173572,0.3325430852004035
5,5,-4.659070623198096,-2.5520148225181973,-0.5520289902592513,0.2452545555357461,0.33526847868670945
5,5,-4.7653066573040235,-2.537659622220617,-0.5621450260868752,0.25365183176784833,0.3402568268180256
5,5,-4.784863347778057,-2.344499896527826,-0.5660402389118403,0.25456999081098514,0.3414548523629436
5,5,-4.770301951873671,-2.172111687887175,-0.56467276617232,0.2511489633428266,0.3417109461825862
5,5,-4.66767901944972,-2.4993559253649344,-0.5507664839914728,0.24551507690093188,0.33618124785242826
5,5,-4.63681079156664,-2.595357759014669,-0.5473013827923708,0.24614785440256276,0.33154613424653445
5,5,-4.611901373468184,-2.3360175210927023,-0.5455894628688385,0.24493444798144387,0.3294910566068696
5,5,-4.496082452918689,-2.3213509098366414,-0.5316525206364473,0.23592378406080888,0.3255905915353569
5,5,-4.476464437221155,-2.761637659532596,-0.5273544600646265,0.23439667354225185,0.3216448318900463
5,5,-4.382832601173568,-2.6025886170368784,-0.5177627999286226,0.23144042780564178,0.3152640243489564
5,5,-4.296280295888202,-2.5577146528540515,-0.5074906014188274,0.22660790728821611,0.31096470104951823
5,5,-4.203918507260353,-2.6429048778209587,-0.4953679370351558,0.2198562640715739,0.3059378428084466
5,5,-4.151861719412016,-2.8189373737188204,-0.48897750579865695,0.21598573296374723,0.29960753351916614
5,5,-4.05805939830525,-2.853367945069351,-0.4786116653203621,0.21223026057578107,0.2949676758477109
5,5,-3.895843027747734,-2.8010711454668487,-0.45929147841665596,0.20343066025293682,0.28609186598950337
5,5,-3.876185085707643,-2.722799671225739,-0.45655942721657,0.20221374193046693,0.2838847223424795
5,5,-3.7719844199127888,-2.628994954293641,-0.4433208522092962,0.19506737478897107,0.27468448963736064
5,5,-3.66522928959472,-2.5138765680796196,-0.43081287217668646,0.18913513772857288,0.2688012482391914
5,5,-3.5743711243017326,-2.6753483711145956,-0.4212043932985121,0.18455540856674388,0.26500382406822265
5,5,-3.5165480210395845,-2.68402871953343,-0.41288432587672563,0.18185802517018795,0.2600729749088305
5,5,-3.397308940859185,-2.637769624738647,-0.39851625487293973,0.17515533228777896,0.24979039349518756
5,5,-3.242814508605461,-2.581057063968018,-0.38072320796183373,0.16519582477958955,0.2420974536338362
5,5,-3.164261158403006,-2.723443727581918,-0.37222696090384366,0.1596886038430993,0.23787302414287093
5,5,-3.0800861150418406,-2.881333578704525,-0.36037844596462965,0.15477639921857067,0.23004390342807907
5,5,-3.002098929005367,-2.9836941345738177,-0.3508147122376455,0.1517839049363337,0.2252771034969043
5,5,-2.8460059316510273,-2.897403313119498,-0.33441659949670527,0.14135926336705412,0.21801025608502864
5,5,-2.744889065434399,-3.2155131362884095,-0.320675298773266,0.13349016647839856,0.21249488144925666
5,5,-2.6434693997203578,-3.306525468066761,-0.30834787598786945,0.12736667646869598,0.2018916074156233
5,5,-2.5268894000875832,-3.0686417828889994,-0.2963260914015226,0.1230895128561745,0.1973025185958027
5,5,-2.4924730780582314,-3.4141777071357424,-0.29116111904291203,0.11932689343472966,0.19671597335247246
5,5,-2.411645653234019,-3.6583396091623506,-0.28089332932321,0.11129903181734851,0.18963274480879172
5,5,-2.272588870053723,-3.6696446319795477,-0.2655464511786497,0.10276085225350579,0.18231556531915966
5,5,-2.179665870610221,-3.797778379354842,-0.2551545072834438,0.09918464610339,0.17820139176900793
5,5,-2.1232128814496853,-3.7962290171089457,-0.24680462237199186,0.0957786071989285,0.17274162248713987
5,5,-2.042970467085116,-3.8977177032149957,-0.236778401179273,0.08781050920774022,0.16679500588056975
5,5,-1.9054567346200884,-4.122556964714503,-0.22252609890372238,0.07842162595679028,0.1614387544129301
5,5,-1.8137718110111134,-4.2522583816270885,-0.21192814873963295,0.07408498130450869,0.157039224221291
5,5,-1.7890811902784947,-4.170136379995446,-0.20671639887626314,0.0727938140231986,0.15267238685446516
5,5,-1.7129586822554739,-4.010635833167834,-0.19927362525122955,0.06754562429164218,0.14655731603348038
5,5,-1.6147156736631647,-4.17992273507325,-0.18816557829887431,0.06008801980638187,0.14237156581531074
