I,O,I_error,O_error,M1_error,M2_error,M3_error
5,5,-0.30594609704635545,-269.6993778011081,-0.07083257190602851,0.5110177778707149,-0.46651709248473083
5,5,1.4497803640481042,-297.87573586115354,0.24783946668866916,0.4876410599473286,-0.7512863877938007
5,5,2.033786504525968,-325.9764000395445,0.5509900502561917,0.1970475583370484,-0.7261728295073118
5,5,1.7361479364057635,-339.7833802085868,0.5593103564852004,0.06526977802698464,-0.5334719437264248
5,5,0.5962586679734958,-346.75029171882824,0.3840257710508619,0.059269047477537196,-0.28537317200299483
5,5,-0.7450933947874887,-346.983869918348,0.13369031582384244,0.13347433139614082,-0.09662372773718447
5,5,-2.280111922805469,-349.55307916254947,-0.1221376976060452,0.17855146593379922,0.09585498778534582
5,5,-3.3100780094597084,-354.5192081406383,-0.3041535795402732,0.19869095214861116,0.22128338136729694
5,5,-4.040115018760476,3.2279481098801743,-0.43832688326296365,0.2193041322905212,0.28540603249503516
5,5,-4.116050270972419,1.2419897481744742,-0.4765418662221043,0.2198613947165248,0.2943427402170253
5,5,-3.3996858090594504,1.2448207480218425,-0.4017006473803092,0.1877355562378079,0.24193772983673106
5,5,-2.88672277991669,1.935770888689695,-0.3408311391024152,0.16495813353993402,0.19962944242606903
5,5,-2.453763704507425,3.650458450401507,-0.28930806818147875,0.14949495553820424,0.16024034985410324
5,5,-2.4531764787503727,3.7204314648984624,-0.2913411968484196,0.14892319267214454,0.16156331510076244
5,5,-2.2301145623612006,2.919879730986684,-0.26246237059592775,0.13700654803341167,0.1493059780055305
5,5,-2.3043138743685443,3.090349726160107,-0.2729735073263775,0.14220435969294593,0.15344685155919402
5,5,-2.3686874538485636,2.8356816604253923,-0.2775263163583282,0.14380626908453215,0.15706720981304376
5,5,-2.262731240076458,3.481842124220319,-0.26726650642036864,0.13939840932310094,0.1463104069588242
5,5,-2.2522396214835876,2.863203347844932,-0.26552662135491545,0.1354550736207676,0.15074538792605566
5,5,-2.131393923938851,2.4273877733881264,-0.251372184102127,0.12954434715102747,0.14398365731074145
5,5,-2.1638123504079845,2.6776547788649743,-0.2552497532303506,0.13340003532653516,0.1444843654434745
5,5,-2.272976064522685,3.092005232928088,-0.2682727192304268,0.1406044693589134,0.14860691376522855
5,5,-2.2292055529272066,3.7361304340355663,-0.264196880082329,0.1390942562456185,0.14229945164222177
