I,O,M1,M2
5,5,-0.017704695088546257,0.03643204404502299
5,6,-0.01879126482322238,0.03643204404502299
5,7,-0.018535601356239766,0.036112464711294714
5,8,-0.01847168548949411,0.03604854884454906
5,9,-0.018983012423459344,0.03560113777732948
5,10,-0.01936650762393327,0.0351537267101099
5,11,-0.02006958215813547,0.03483414737638163
5,12,-0.020836572559083322,0.033939325241942465
5,13,-0.02211488989399641,0.03323625070774027
5,14,-0.023265375495418187,0.03246926030679242
5,15,-0.02377670242938342,0.032213596839809795
5,16,-0.025438514964770436,0.03163835403909891
5,17,-0.02684466403317483,0.03093527950489671
5,18,-0.027164243366903103,0.030423952570931476
5,19,-0.02978479390347493,0.030168289103948857
5,20,-0.030999195371642366,0.03004045737045755
5,21,-0.032213596839809795,0.02972087803672928
5,22,-0.03413107284217943,0.029656962169983623
5,23,-0.03636812817827733,0.029656962169983623
5,24,-0.03745469791295346,0.029656962169983623
5,25,-0.03956392151556005,0.029976541503711894
5,26,-0.04186489271840361,0.030168289103948857
5,27,-0.04403803218775586,0.030423952570931476
5,28,-0.04601942405687114,0.03138269057211629
5,29,-0.04806473179273208,0.03208576510631849
5,30,-0.050940945796286524,0.03246926030679242
5,31,-0.053817159799840975,0.03349191417472289
5,32,-0.0564377103364128,0.034514568042653355
5,33,-0.058738681539256356,0.03560113777732948
5,34,-0.06244580181050431,0.03694337097898822
5,35,-0.06564159514778703,0.038221688313901304
5,36,-0.06838997741785016,0.03981958498254266
5,37,-0.07120227555465895,0.041609229251420986
5,38,-0.07427023715845037,0.04339887352029931
5,39,-0.0782969367634266,0.04499677018894067
5,40,-0.08162056183420062,0.047169909658292916
5,41,-0.08539159797219423,0.04908738566066255
5,42,-0.08845955957598564,0.05074919819604956
5,43,-0.09178318464675966,0.05273059006516485
5,44,-0.09459548278356845,0.05554288820197364
5,45,-0.0974716967871229,0.05777994353807154
5,46,-0.1002839949239317,0.060400494074643374
5,47,-0.1027767137270122,0.06334062394494347
5,48,-0.10520551666334708,0.06608900621500662
5,49,-0.10801781480015588,0.06870955675157844
5,50,-0.11051053360323639,0.0717136024886242
5,51,-0.11261975720584298,0.07388674195797644
5,52,-0.11530422360916047,0.07682687182827654
5,53,-0.11766911067874967,0.07976700169857665
5,54,-0.119458754947628,0.0826432157021311
5,55,-0.1215679785502346,0.08481635517148334
5,56,-0.12374111801958684,0.08647816770687035
5,57,-0.12553076228846516,0.08909871824344218
5,58,-0.12725649069059783,0.09152752117977704
5,59,-0.1287265556257479,0.09472331451705976
5,60,-0.13128319029557406,0.09696036985315766
5,61,-0.13198626482977627,0.0980469395878338
5,62,-0.13390374083214587,0.10022007905718604
5,63,-0.13441506776611112,0.10347978826121441
5,64,-0.13594904856800683,0.10539726426358405
5,65,-0.13652429136871772,0.10661166573175147
5,66,-0.13748302936990253,0.10872088933435807
5,67,-0.1386335149713243,0.1112136081374386
5,68,-0.13901701017179824,0.11364241107377346
5,69,-0.13940050537227217,0.11434548560797565
5,70,-0.14023141163996566,0.1158155505431257
5,71,-0.14010357990647435,0.11837218521295188
5,72,-0.14119014964115048,0.12054532468230413
5,73,-0.14067882270718524,0.1215679785502346
5,74,-0.14163756070837005,0.12207930548419983
5,75,-0.14080665444067655,0.12457202428728036
5,76,-0.1415736448416244,0.12655341615639565
5,77,-0.14067882270718524,0.12693691135686955
5,78,-0.14093448617416787,0.12821522869178265
5,79,-0.1400396640397287,0.13070794749486317
5,80,-0.13997574817298306,0.13230584416350452
5,81,-0.13888917843830692,0.1317945172295393
5,82,-0.138505683237833,0.13377590909865458
5,83,-0.13805827217061342,0.13575730096776986
5,84,-0.1373551976364112,0.13543772163404158
5,85,-0.13633254376848075,0.1362686279017351
5,86,-0.13537380576729593,0.13825001977085039
5,87,-0.1342872360326198,0.13901701017179824
5,88,-0.13326458216468934,0.13818610390410474
5,89,-0.13211409656326756,0.13965616883925477
5,90,-0.1305161998946262,0.1408705703074222
5,91,-0.12847089215876525,0.13959225297250913
5,92,-0.12674516375663258,0.14093448617416787
5,93,-0.12482768775426296,0.14195714004209833
5,94,-0.1231019593521303,0.14106231790765916
5,95,-0.12067315641579543,0.14119014964115048
5,96,-0.11869176454668015,0.14234063524257226
5,97,-0.11600729814336266,0.1415736448416244
5,98,-0.11383415867401042,0.14055099097369395
5,99,-0.11153318747116686,0.1414458131081331
5,100,-0.10897655280134068,0.14112623377440484
