Time(s),Roll,Pitch,Yaw
0.03,0.0,-17.12,0.0
0.06,-7.9,41.88,0.0
0.09,-25.49,-14.95,0.0
0.12,-19.74,25.95,0.0
0.15,28.57,11.09,0.0
0.18,3.57,-26.87,0.0
0.21,-28.41,7.21,0.0
0.24,20.61,25.4,0.0
0.27,19.73,-25.5,0.0
0.3,-30.69,-13.15,0.0
0.33,-0.82,27.56,0.0
0.36,27.52,-2.77,0.0
0.39,-25.86,-27.22,0.0
0.43,-15.27,22.19,0.0
0.46,32.07,19.47,0.0
0.49,-9.51,-28.08,0.0
0.52,-23.4,-3.63,0.0
0.55,35.3,32.77,0.0
0.58,0.25,-18.04,0.0
0.61,-30.52,-23.36,0.0
0.64,28.19,33.35,0.0
0.67,8.11,-1.05,0.0
0.7,-36.39,-33.28,0.0
0.73,20.28,26.3,0.0
0.76,17.42,12.2,0.0
0.79,-37.08,-36.82,0.0
0.82,10.52,16.11,0.0
0.85,26.54,22.9,0.0
0.88,-33.5,-35.33,0.0
0.91,-0.27,4.83,0.0
0.94,33.63,31.22,0.0
0.97,-26.37,-29.6,0.0
1.0,-11.5,-6.56,0.0
1.03,36.98,36.36,0.0
1.06,-16.67,-20.79,0.0
1.09,-21.88,-17.47,0.0
1.12,35.79,37.1,0.0
1.15,-5.82,-10.28,0.0
1.18,-30.47,-26.87,0.0
1.21,30.39,33.35,0.0
1.24,5.65,0.99,0.0
1.28,-35.89,-33.86,0.0
1.31,21.7,25.97,0.0
1.34,16.55,12.28,0.0
1.37,-37.09,-36.95,0.0
1.4,11.41,16.16,0.0
1.43,26.26,22.55,0.0
1.46,-33.87,-35.41,0.0
1.49,0.15,5.2,0.0
1.52,33.41,31.01,0.0
1.55,-26.67,-29.86,0.0
1.58,-11.03,-6.26,0.0
1.61,36.89,36.25,0.0
1.64,-17.06,-21.09,0.0
1.67,-21.54,-17.21,0.0
1.7,35.83,37.16,0.0
1.73,-6.16,-10.59,0.0
1.76,-30.15,-26.68,0.0
1.79,30.54,33.57,0.0
1.82,5.11,0.61,0.0
1.85,-35.7,-33.65,0.0
1.88,22.23,26.29,0.0
1.91,15.96,11.79,0.0
1.94,-37.14,-36.87,0.0
1.97,12.06,16.68,0.0
2.0,25.67,21.99,0.0
2.03,-34.15,-35.66,0.0
2.06,0.98,5.89,0.0
2.09,33.03,30.42,0.0
2.12,-27.36,-30.29,0.0
2.16,-10.23,-5.28,0.0
2.19,36.81,35.92,0.0
2.22,-18.01,-21.9,0.0
2.25,-20.7,-16.15,0.0
2.28,36.19,37.22,0.0
2.31,-7.24,-11.67,0.0
2.34,-29.47,-25.82,0.0
2.37,31.21,34.05,0.0
2.4,4.02,-0.48,0.0
2.43,-35.36,-33.05,0.0
2.46,23.19,27.12,0.0
2.49,15.0,10.55,0.0
2.52,-37.28,-36.73,0.0
2.55,13.06,17.79,0.0
2.58,24.8,21.07,0.0
2.61,-34.57,-35.99,0.0
2.64,1.94,6.92,0.0
2.67,32.41,29.89,0.0
2.7,-27.91,-30.95,0.0
2.73,-9.28,-4.45,0.0
2.76,36.54,35.66,0.0
2.79,-18.78,-22.7,0.0
2.82,-19.83,-15.31,0.0
2.85,36.35,37.38,0.0
2.89,-8.21,-12.62,0.0
2.92,-28.77,-25.0,0.0
2.95,31.85,34.55,0.0
2.98,2.95,-1.62,0.0
3.01,-34.92,-32.45,0.0
3.04,24.07,27.97,0.0
3.07,13.83,9.53,0.0
3.1,-37.23,-36.54,0.0
3.13,14.28,18.84,0.0
3.16,23.81,19.95,0.0
3.19,-35.17,-36.25,0.0
3.22,3.25,8.28,0.0
3.25,31.72,28.92,0.0
3.28,-28.94,-31.71,0.0
3.31,-7.93,-3.06,0.0
3.34,36.3,35.18,0.0
3.37,-20.03,-23.82,0.0
3.4,-18.61,-13.97,0.0
3.43,36.65,37.35,0.0
3.46,-9.62,-13.92,0.0
3.49,-27.84,-23.83,0.0
3.52,32.69,35.04,0.0
3.55,1.63,-2.98,0.0
3.58,-34.44,-31.72,0.0
3.61,25.1,28.86,0.0
3.64,12.68,8.26,0.0
3.67,-37.19,-36.3,0.0
3.7,15.38,19.94,0.0
3.73,22.78,18.92,0.0
3.76,-35.51,-36.53,0.0
3.79,4.46,9.44,0.0
3.82,30.97,28.07,0.0
3.85,-29.77,-32.44,0.0
3.89,-6.69,-1.73,0.0
3.92,36.02,34.57,0.0
3.95,-21.23,-24.89,0.0
3.98,-17.43,-12.78,0.0
4.01,36.88,37.32,0.0
4.04,-10.85,-15.09,0.0
4.07,-26.87,-22.87,0.0
4.1,33.26,35.55,0.0
4.13,0.37,-4.22,0.0
4.16,-33.8,-31.04,0.0
4.19,26.08,29.73,0.0
4.22,11.44,7.05,0.0
